,연번,사업장명,현장소재지,발생사업,대상사업,데이터기준일자,lat,lon
55,56,(주)보브종합건설,만수동 409-5번지 외 1필지,건설업,건축물축조공사,2024-05-08,,
56,57,상수도연구소 주식회사,장수동 37-1,건설업,토목공사,2024-05-08,126.772588553155,37.4601639671591
57,58,신동아건설(주),간석동 417-3,건설업,건축물축조공사,2024-05-08,126.703705941264,37.4587221736522
58,59,성강종합건설(주),고잔동 372-1 외 3필지,건설업,건축물축조공사,2024-05-08,,
59,60,(주)개신건설,구월로 49 일원,건설업,토목공사,2024-05-08,,
60,61,(주)세진종합건설,고잔동 183,건설업,정지공사 및 건축물축조공사,2024-05-08,126.71505525563,37.3945589349619
61,62,건우산업개발(주),"구월동 1454-2,3",건설업,건축물축조공사,2024-05-08,,
62,63,세온종합건설 주식회사,간석동 392 외 6필지,건설업,건축물축조공사,2024-05-08,,
63,64,(주)동양,구월동 1123-2,건설업,건축물축조공사,2024-05-08,126.698600764581,37.4497868334917
64,65,(주)삼마종합건설,구월동 1089-1,건설업,건축물축조공사,2024-05-08,126.696952135847,37.4544897648742
65,66,(주)한화,간석동 311-1 일대,건설업,건축물해체공사,2024-05-08,126.707088270144,37.4639103256713
66,67,포스코이앤씨,간석동 311-1 일대,건설업,건축물해체공사,2024-05-08,126.707088270144,37.4639103256713
67,68,세대개발(주),장수동 727-46 일원,건설업,토목공사,2024-05-08,126.754926223084,37.4572968735956
68,69,(주)성도산업개발,운연동 459-42,건설업,지반조성공사(농지정리),2024-05-08,126.766639350897,37.4281494793577
69,70,(주)삼마종합건설,구월동 1089-1,건설업,건축물해체공사,2024-05-08,126.696952135847,37.4544897648742
70,71,(주)수산기업,논현동 764-3,건설업,도장공사,2024-05-08,126.717044447058,37.3848159359012
71,72,(주)제이앤지,구월동 1113,건설업,토목공사,2024-05-08,126.698656479769,37.4508293545445
72,73,(주)에덴종합건설,간석동 155-2 외 3필지,건설업,건축물축조공사,2024-05-08,,
73,74,신세계건설 주식회사,구월동 1549,건설업,건축물축조공사,2024-05-08,126.707831209002,37.4396872385182
74,75,(주)정광이엔씨,간석동 501,건설업,도장공사,2024-05-08,126.699732161063,37.4556913294837
75,76,제이티종합건설(주),간석동 37-116번지 외 8필지,건설업,건축물축조공사,2024-05-08,,
76,77,(주)수산기업,간석동 941,건설업,도장공사,2024-05-08,126.718942782438,37.4635833966237
77,78,(주)다원건설,구월동 1530,건설업,도장공사,2024-05-08,126.710595236746,37.441278558538
78,79,삼창엔지니어링(주),논현동 601-1,건설업,도장공사,2024-05-08,126.731056281846,37.4069808217935
79,80,(주)티엔비건설,논현동 810,건설업,도장공사,2024-05-08,126.738882619671,37.4028573756467
80,81,(주)세원테크넷,백범로 386 ~ 백범로 109 일원,건설업,토목공사,2024-05-08,,
