,연번,상호명,영업소소재지(도로명),게임기종류,게임기수,업종명,데이터기준일자,lat,lon
152,153,로또PC,"인천광역시 남동구 논고개로 305, 1층 (도림동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.727762004872,37.4175921264125
153,154,모모 PC,"인천광역시 남동구 소래역로30번길 18, 제일타워 109호 (논현동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.736497565988,37.3999638691125
154,155,금은 PC,"인천광역시 남동구 논현로26번길 12, 부티크 646 109호 (논현동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.708860079634,37.4026237277989
155,156,소래보스PC,"인천광역시 남동구 포구로 14, 104호 (논현동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.739288483745,37.400395246563
156,157,컴온PC게임랜드,"인천광역시 남동구 하촌서로47번길 42, 영광약국 2층 (만수동)",PC,24,인터넷컴퓨터게임시설제공업,2024-02-22,126.727636216472,37.4532170922774
157,158,올리브 PC,"인천광역시 남동구 앵고개로934번길 24, 세훈프라자 107호 (논현동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.73505535941,37.4011766612912
158,159,마카오 PC,"인천광역시 남동구 선수촌공원로17번길 1, 구월테크노밸리 A동 102호 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.709647489089,37.4402282669533
159,160,퍼펙트 PC,"인천광역시 남동구 인주대로522번길 59-27, 1층 (구월동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.695781641865,37.4492563937577
160,161,조은 PC,"인천광역시 남동구 소래역로 28, 조은프라자 113호 (논현동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.736028960365,37.399809290276
161,162,놀러와 PC,"인천광역시 남동구 소래역로 50, 토성프라자 103호 (논현동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.73421947366,37.4015958313533
162,163,하나 PC,"인천광역시 남동구 문화서로28번길 4, 1층 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.696388642028,37.4476044198406
163,164,아지트 PC,"인천광역시 남동구 백범로227번길 89-2, 1층 일부호 (만수동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.723597046959,37.4561013993019
164,165,로얄 PC,"인천광역시 남동구 문화서로46번길 1, 1층일부호 (구월동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.696427278556,37.4493975303186
165,166,하이 PC방 인천구월본점,"인천광역시 남동구 인하로507번길 23, 8층 801호 (구월동, 인아빌딩)",PC,90,복합유통게임제공업,2024-02-22,126.702781651147,37.4444292880687
166,167,이에프씨(EFC high-end pc카페),"인천광역시 남동구 만수서로 52, 401.402호 (만수동,쓰리제이프라자)",PC,131,복합유통게임제공업,2024-02-22,,
167,168,아트 PC,"인천광역시 남동구 장승남로 70-11, 204,205,206호 (만수동, 현대아파트상가)",PC,80,복합유통게임제공업,2024-02-22,,
168,169,나인티 PC카페,"인천광역시 남동구 구월로 368 (만수동,3층)",PC,174,복합유통게임제공업,2024-02-22,126.731741505978,37.4547693724706
169,170,5 Star PC,"인천광역시 남동구 선수촌공원로 37, 303~305호 (구월동, 중앙프라자(상업5-3,5-4))",PC,196,복합유통게임제공업,2024-02-22,,
170,171,루카 PC(LUCA PC&CAFE),"인천광역시 남동구 구월로 308, 2층호 (만수동)",PC,104,복합유통게임제공업,2024-02-22,126.724820721825,37.4553374952874
171,172,브리즈PC카페,"인천광역시 남동구 예술로 126, B101, B109, B111, B114호 (구월동)",PC,320,복합유통게임제공업,2024-02-22,126.700886698924,37.4451295490218
172,173,긱스타PC방,"인천광역시 남동구 인하로 497-23, 반도프라자 7층 701호 (구월동)",PC,102,복합유통게임제공업,2024-02-22,126.701707672992,37.4445365058531
173,174,욜로PC방 인천논현점,"인천광역시 남동구 논고개로123번길 35, 칼리오페 A308호 (논현동)",PC,91,복합유통게임제공업,2024-02-22,126.722065821029,37.4015165296659
174,175,크라우드PC 인천모래내시장역점,"인천광역시 남동구 구월로 272, 파크빌딩 지하층 (구월동)",PC,86,복합유통게임제공업,2024-02-22,126.720703880668,37.4555847156665
175,176,펄스(PULSE)PC 구월점,"인천광역시 남동구 인하로507번길 21, 승관빌딩 5층 (구월동)",PC,117,복합유통게임제공업,2024-02-22,126.702769862508,37.4441527380096
176,177,베스트피씨카페 간석점,"인천광역시 남동구 남동대로916번길 3, 2층 (간석동)",PC,158,복합유통게임제공업,2024-02-22,126.708477256329,37.4643725539461
